Lewis
Dante
Dara
Darach
Daragh
Darrel
Daryn
David-Lee
Davis
Dawud
Deano
Declyn
Denny
Denzel
Derin
Derron
Derryn
Devlyn
Diarmuid
Diesel
Digby
Dilraj
Dorian
Dylan-John
Dyllon
Eamonn
Easton
Eesa
Eliot
Emir
Emmanuel
Essa
Fares
Farhan
Faysal
Finnan
Finnley
Fletcher
Francesco
Francisco
Fred
Fyn
Gallagher
Gideon
Gil
Griffin
Grzegorz
Haiden
Haider
Hamid
Hao
Harri
Harvie
Hasan
Haseeb
Haydon
Humza
Ibraheem
Idrees
Idris
Iestyn
Isaiah
J
Jacques
Jago
Jaime
Jaskaran
Jaydan
Jeevan
Jeremy
Jerome
Jian
Johnny
Jonny
Josiah
Jules
Jun
Kabir
Kael
Kaelan
Kaelin
Kaidan
Kaidyn
Kairn
Kal-el
Kallin
Kareem
Karson
Kasey
Kash
Kasim
Kasper
Kealan
Keane
Keaton
Keith
Kelan
Ken
Kenyon
Kevan
Khalan
Kiaran
Kiefer
Kiran
Koray
Kory
Krishan
Kristoffer
Kruz
Kyan
Kylian
Kyron
Lakshya
Lauchlin
Lawrie
Lenin
Leroy
Leyland
Lorcan
Lorenz
Lorenzo
Loukas
Luqman
Macauley
Macsen
Maddison
Maddox
Mahmoud
Malikye
Manas
Manus
Marios
Marwan
Maxim
Mehmet
Mika
Mikee
Milos
Mitch
Montgomery
Muhsin
Natan
Nate
Nevan
Ngonidzashe
Nicki
Odhran
Ole
Orin
Orson
Ossian
Pablo
Padraig
Pawel
Pearce
Peirce
Pranav
Prince
Qasim
Rafael
Rafal
Rahim
Ralph
Raul
Reegan
Reggie
Rehaan
Reid
Reo
Rhian
Rhudi
Richie
Rishi
Robbi
Robby
Roderick
Rogan
Rohaan
Ronnie
Rossi
Ruadhan
Russel
Ryan-Lee
Ryden
Rylee
Ryleigh
Salman
Santino
Seamas
Seumas
Shai
Sonni
Stanley
Tadhg
Tanvir
Taylan
Tayler
Taylor-Jay
Teagan
Tee
Tee-jay
Tian
Tomasz
Torquil
Torran
Trey
Turner
Tyson
Vincenzo
Wen
Wojciech
Yann
Yannick
Youcef
Yu
Yuri
Zackary
Zakaria
Zakariya
Zaki
Zakir
Zakk
Zhi
A
Aadit
Aahron
Aaran
Aaren
Aarez
Aarman
Aaron-James
Aaryan
Aazaan
Abaan
Abbas
Abdallah
Abdalroof
Abdihakim
Abdirahman
Abdisalam
Abdul-Aziz
Abdulbasir
Abdulkadir
Abdulkarem
Abdulkhader
Abdul-Majeed
Abdulmalik
Abdul-Rehman
Abdur
Abdurraheem
Abdur-Rahman
Abdur-Rehmaan
Abhisumant
Abid
Abir
Abu
Ace
Adam-James
Addison
Addisson
Adegbola
Adegbolahan
Aden
Adenn
Adie
Aditya
Adrien
Aedin
Aeron
Afonso
Ahmed-Aziz
Ahoua
Ahtasham
Aiadan
Aiden-Jack
Aiden-Vee
Aidy
Ailin
Aiman
Ainsley
Ainslie
Airen
Airidas
Airlie
AJ
Ajayraj
Akan
Akram
Al
Ala'
Alanas
Alber
Aldred
Aleem
Aleksandar
Aleksandr
Aleksandrs
Alekzander
Alessio
Alexei
Alexx
Alexzander
Alf
Alfee
Alfy
Alhaji
Al-Hassan
Aliekber
Alieu
Alihaider
Alishan
Alistar
Alister
Aliyaan
Allan-Laiton
Allen
Allesandro
Alphonse
Altyiab
Alum
Alvern
Alvin
Alyas
Amaan
Amani
Ambanimoh
Amgad
Amin
Ammaar
Ammar
Ammer
Amolpreet
Amrinder
Amrit
Amro
Anay
Andrea
Andreas
Andrejs
Anesu
Angel
Angelo
Anir
Anis
Anish
Anmolpreet
